ba 吧 ba
bēn 贲 bēn
bēn 锛 bēn
běn 本 běn
běn 畚 běn
běn 苯 běn
bīn 傧 bīn
bīn 宾 bīn
bīn 彬 bīn
bīn 斌 bīn
bīn 槟 bīn
bīn 滨 bīn
bīn 濒 bīn
bīn 玢 bīn
bīn 缤 bīn
bīn 豳 bīn
bīn 邠 bīn
bīn 镔 bīn
bǎn 坂 bǎn
bǎn 昄 bǎn
bǎn 板 bǎn
bǎn 版 bǎn
bǎn 钣 bǎn
bǎn 阪 bǎn
bāng 帮 bāng
bāng 梆 bāng
bāng 浜 bāng
bāng 邦 bāng
bāng 𠳐 bāng
bēng 嘣 bēng
bēng 崩 bēng
bēng 祊 bēng
bēng 绷 bēng
běng 琫 běng
bīng 兵 bīng
bīng 冰 bīng
bǎng 榜 bǎng
bǎng 绑 bǎng
bǎng 膀 bǎng
bǐng 丙 bǐng
bǐng 摒 bǐng
bǐng 昺 bǐng
bǐng 柄 bǐng
bǐng 炳 bǐng
bǐng 禀 bǐng
bǐng 秉 bǐng
bǐng 蛃 bǐng
bǐng 邴 bǐng
bǐng 饼 bǐng
bāo 包 bāo
bāo 孢 bāo
bāo 枹 bāo
bāo 煲 bāo
bāo 胞 bāo
bāo 苞 bāo
bāo 褒 bāo
bāo 龅 bāo
bǎo 保 bǎo
bǎo 堡 bǎo
bǎo 宝 bǎo
bǎo 葆 bǎo
bǎo 褓 bǎo
bǎo 饱 bǎo
bǎo 鸨 bǎo
